id,location,lineno,end_lineno,category_id,category_name,category_desc,explanation
7530,Slicer.Modules.Loadable.Markups.Widgets.Testing.Python.MarkupsWidgetsSelfTest.MarkupsWidgetsSelfTestTest.section_MarkupsPlaceWidget,169,173,1,syntax,Indeterminate syntax issues,The cause is that the deleteAllMarkupsOptionVisible option is not visible in the widget.
7531,Slicer.Modules.Loadable.Segmentations.EditorEffects.Python.SegmentEditorSmoothingEffect.SegmentEditorSmoothingEffect.setupOptionsFrame,79,80,3,integration,Packaging/Integration Issue,The cause is that the bug is in the context.
7551,Slicer.Modules.Scripted.EditorLib.EditBox.EditBox,439,442,2,performance,Poorly optimized code regions,"The cause is that the ""NextCheckPoint"" button is not enabled."
7532,Slicer.Modules.Loadable.SubjectHierarchy.Testing.Python.SubjectHierarchyGenericSelfTest.SubjectHierarchyGenericSelfTestTest.section_AttributeFilters,526,532,3,integration,Packaging/Integration Issue,The cause is that the attribute names filter is not applied to the item attribute names.
7533,Slicer.Modules.Loadable.Markups.Testing.Python.MarkupsInCompareViewersSelfTest.MarkupsInCompareViewersSelfTestWidget.setup,49,51,2,performance,Poorly optimized code regions,"Bad indentation. Found 4 spaces, expected 8"
7534,Slicer.Applications.SlicerApp.Testing.Python.UtilTest.UtilTestTest.test_array,454,456,2,performance,Poorly optimized code regions,The cause is that the QT_PLUGIN_PATH environment variable is not set.
7535,Slicer.Modules.Loadable.Segmentations.EditorEffects.Python.SegmentEditorThresholdEffect.HistogramPipeline,1102,1107,0,module,Issues pertaining to module integration,"Bad indentation. Found 6 spaces, expected 12"
7536,Slicer.Modules.Loadable.SubjectHierarchy.Testing.Python.SubjectHierarchyGenericSelfTest.SubjectHierarchyGenericSelfTestTest,604,609,4,api-configuration,Internal api configuration,The cause is that the vtkMRMLScalarVolumeNode class is not a subclass of vtkMRMLScalarVolumeNode.
7537,Slicer.Modules.Loadable.Markups.Testing.Python.MarkupsCurveMeasurementsTest,207,208,2,performance,Poorly optimized code regions,The cause is that the exceptionMessage is not a string.
7538,Slicer.Modules.Scripted.LabelStatistics.LabelStatistics.LabelStatisticsWidget.setup,127,128,4,api-configuration,Internal api configuration,"The cause is that the function ""setText"" is not defined in the class ""ChartIgnoreZero""."
7539,Slicer.Modules.Scripted.LabelStatistics.LabelStatistics.LabelStatisticsWidget.populateStats,263,264,1,syntax,Indeterminate syntax issues,"The cause is that the string "" "" is not a valid Python string."
