id,location,lineno,end_lineno,category_id,category_name,category_desc,explanation
6337,scrapy.scrapy.contrib.spiders.init.InitSpider.make_requests_from_url,12,13,3,integration,Packaging/Integration Issue,The cause is that the super() function is called before the make_requests_from_url() function.
6338,scrapy.scrapy.core.downloader.handlers.file.FileDownloadHandler,5,7,0,module,Issues pertaining to module integration,The cause is that the defers keyword is not supported in Python 3.
6339,scrapy.scrapy.contrib.linkextractors.lxmlparser.LinkTarget,73,74,1,syntax,Indeterminate syntax issues,The cause is that the current_link attribute is not initialized in the constructor.
6340,scrapy.scrapy.contrib.downloadermiddleware.httpcompression.HttpCompressionMiddleware,9,15,0,module,Issues pertaining to module integration,The cause is that the middleware is not called in the right order.
6341,scrapy.scrapy.contrib.ibl.extraction.regionextract,10,11,1,syntax,Indeterminate syntax issues,The cause is that the groupby() function is not implemented in Python 3.
6342,scrapy.scrapy.contrib.pipeline.media.MediaPipeline,90,97,3,integration,Packaging/Integration Issue,The cause is that the function is not in the right scope.
6343,scrapy.scrapy.contrib_exp.crawlspider.rules.CompiledRule,12,13,5,multiprocessing,Potential issue managing multiple components,"Class 'CompiledRule' inherits from object, can be safely removed from bases in python3"
6344,scrapy.scrapy.http.cookies._DummyLock,50,53,1,syntax,Indeterminate syntax issues,The cause is that the function acquire() is not defined.
6345,scrapy.scrapy.contrib.ibl.htmlpage,84,87,2,performance,Poorly optimized code regions,The cause is that the Python 3 code is not valid HTML.
6346,scrapy.scrapy.contrib.pipeline.fileexport,5,6,0,module,Issues pertaining to module integration,"The cause is that the code is not using the correct context. The context is used to find the right function to call. In this case, it is used to find the function that handles the signals."
6347,scrapy.scrapy.utils.memory.get_vmvalue_from_procfs,20,21,1,syntax,Indeterminate syntax issues,The cause is that the _vmvalue_solaris function is not defined in Python 3.
